"idccaa","provincia","media_precio_bioetanol","media_precio_biodiesel","media_precio_gas_natural_comprimido","media_precio_gas_natural_licuado","media_precio_gases_licuados_del_petroleo","media_precio_gasoleo_a","media_precio_gasoleo_b","media_precio_gasoleo_premium","media_precio_gasolina_95_e5","media_precio_gasolina_95_e5_premium","media_precio_gasolina_98_e10","media_precio_gasolina_98_e5","media_precio_hidrogen"
"01","ALMERÍA",NA,NA,NA,NA,0.861,1.33166502463054,0.942530303030303,1.4335,1.46061458333333,1.516,NA,1.63544444444444,NA
"01","CÁDIZ",NA,1.3715,0.895,1.11,0.841380952380952,1.33911929824561,0.915979591836735,1.43405084745763,1.48270786516854,1.56632352941176,NA,1.63953968253968,NA
"01","CÓRDOBA",NA,NA,NA,NA,0.8837,1.33187301587302,0.900803278688525,1.43281884057971,1.47290952380952,1.55525,NA,1.61946666666667,NA
"01","GRANADA",NA,1.249,1.199,NA,0.885571428571429,1.34274642857143,0.907866666666667,1.43862983425414,1.48752808988764,1.58114285714286,NA,1.64458333333333,NA
"01","HUELVA",NA,1.329,NA,NA,0.8362,1.35534285714286,0.906679245283019,1.44776543209877,1.47230952380952,1.55971428571429,1.479,1.59849180327869,NA
"01","JAÉN",NA,1.279,1.8495,1.8125,0.866923076923077,1.34687007874016,0.911801169590643,1.45114179104478,1.4638669527897,1.549,NA,1.61688372093023,NA
"01","MÁLAGA",NA,NA,1.099,1.045,0.914695652173913,1.36949841269841,0.900383333333333,1.4736943231441,1.50929411764706,1.61858333333333,NA,1.67891011235955,NA
"01","SEVILLA",NA,1.284,1.54266666666667,2.2,0.86262962962963,1.35419910514541,0.912504201680672,1.4519696969697,1.49590709046455,1.58763636363636,NA,1.65845833333333,NA
"02","HUESCA",NA,NA,NA,NA,0.849,1.34478813559322,0.914929824561403,1.42959302325581,1.48483486238532,1.56457142857143,NA,1.63410909090909,NA
"02","TERUEL",NA,NA,NA,NA,0.805,1.30949367088608,0.856973333333333,1.43329268292683,1.46422388059701,1.589,NA,1.6315,NA
"02","ZARAGOZA",NA,NA,1.47975,1.44966666666667,0.8251,1.34024489795918,0.889352,1.4375,1.48862612612613,1.58570588235294,NA,1.65320560747664,NA
"03","ASTURIAS",1.729,NA,1.46666666666667,2.2,0.879647058823529,1.37505855855856,1.00085483870968,1.46236257309942,1.50389371980676,1.566875,NA,1.65131205673759,NA
"04","BALEARS (ILLES)",NA,NA,NA,NA,0.81245,1.440245,1.04244444444444,1.5153141025641,1.56594472361809,1.64333333333333,NA,1.71871653543307,NA
"05","PALMAS (LAS)",NA,NA,NA,NA,0.684263157894737,1.10261471861472,NA,1.22291891891892,1.18133766233766,1.18566666666667,NA,1.30417727272727,NA
"05","SANTA CRUZ DE TENERIFE",NA,NA,0.92,NA,0.682875,1.1216036036036,NA,1.23690196078431,1.1807556561086,1.179,NA,1.30475,NA
"06","CANTABRIA",NA,1.301,NA,NA,0.846636363636364,1.37027702702703,0.958645161290323,1.45469026548673,1.50204794520548,1.61566666666667,NA,1.64710784313726,NA
"07","ALBACETE",NA,NA,1.6645,1.815,0.838833333333333,1.35650318471338,0.900509090909091,1.45630107526882,1.47473529411765,1.54207692307692,NA,1.61185714285714,NA
"07","CIUDAD REAL",NA,NA,1.199,NA,0.822818181818182,1.34628378378378,0.889780952380952,1.44796721311475,1.46873157894737,1.54316666666667,NA,1.6100119047619,NA
"07","CUENCA",NA,NA,1.099,1.045,0.844166666666667,1.34025165562914,0.832238095238095,1.47640579710145,1.49439449541284,1.58,NA,1.64591111111111,NA
"07","GUADALAJARA",NA,NA,1.40675,1.498,0.840666666666667,1.3824,0.9445,1.46366666666667,1.51848275862069,1.58455555555556,NA,1.66963461538462,NA
"07","TOLEDO",NA,NA,1.11466666666667,1.045,0.863391304347826,1.35497986577181,0.852056451612903,1.4742303030303,1.4966582278481,1.57785714285714,1.558,1.63248201438849,NA
"08","ÁVILA",NA,1.399,NA,NA,0.845666666666667,1.39173529411765,0.974263157894737,1.47234615384615,1.51248484848485,1.5865,NA,1.64766666666667,NA
"08","BURGOS",NA,NA,1.12333333333333,1.1025,0.83225,1.37593939393939,0.945195121951219,1.4685,1.51269291338583,1.58777777777778,NA,1.67550724637681,NA
"08","LEÓN",NA,NA,1.19,NA,0.8685,1.39581547619048,0.947129032258065,1.47201526717557,1.51121604938272,1.594,1.509,1.65241414141414,NA
"08","PALENCIA",NA,1.419,NA,NA,0.8335,1.37936923076923,0.905823529411765,1.45874,1.50180952380952,1.579,NA,1.634225,NA
"08","SALAMANCA",NA,NA,1.099,1.389,0.834,1.36610185185185,0.981434782608696,1.46439189189189,1.48919801980198,1.55,NA,1.63488888888889,NA
"08","SEGOVIA",NA,NA,NA,2.2,0.83375,1.37725675675676,0.9936,1.46046428571429,1.51128378378378,1.5915,NA,1.662025,NA
"08","SORIA",NA,NA,NA,NA,0.8205,1.36157142857143,0.999625,1.42709677419355,1.49044444444444,1.564,NA,1.6387,NA
"08","VALLADOLID",NA,1.349,NA,NA,0.893533333333333,1.35881081081081,0.902387096774193,1.45274285714286,1.49167883211679,1.582,NA,1.63814666666667,NA
"08","ZAMORA",NA,NA,2.23,2.2,0.825666666666667,1.36798765432099,0.905642857142857,1.45472727272727,1.48721333333333,1.5715,NA,1.62597872340426,NA
"09","BARCELONA",1.672,1.27525,1.63466666666667,1.61683333333333,0.862256756756757,1.36314868421053,0.978590909090909,1.45859780621572,1.50060215053763,1.56678846153846,NA,1.6709620758483,NA
"09","GIRONA",NA,1.269,1.4695,1.74225,0.833333333333333,1.35114176245211,1.02945652173913,1.44874418604651,1.50251984126984,1.595,NA,1.67763742690058,NA
"09","LLEIDA",NA,1.319,0.995,0.969,0.845285714285714,1.32382608695652,0.893764705882353,1.43469473684211,1.46598148148148,1.56233333333333,NA,1.62861627906977,NA
"09","TARRAGONA",NA,1.289,1.6145,1.5845,0.831928571428571,1.355329004329,0.926852459016393,1.45389171974522,1.49115887850467,1.5508,NA,1.65975373134328,NA
"10","ALICANTE",NA,1.348,1.472,1.43533333333333,0.863625,1.35852036199095,1.00337096774194,1.45413664596273,1.49186757990868,1.58211363636364,NA,1.65122900763359,NA
"10","CASTELLÓN / CASTELLÓ",NA,NA,2.39,2.295,0.859,1.35529545454545,0.955854838709677,1.45225,1.48806976744186,1.57622222222222,1.665,1.65249425287356,NA
"10","VALENCIA / VALÈNCIA",NA,1.239,1.5654,1.769,0.809111111111111,1.3312688,0.935133757961783,1.42713299232737,1.47293708609272,1.56145714285714,NA,1.63568111455108,NA
"11","BADAJOZ",NA,NA,1.67,1.655,0.864,1.36907751937985,0.899572815533981,1.4722578125,1.48349056603774,1.55622222222222,NA,1.63481690140845,NA
"11","CÁCERES",NA,1.328,1.199,1.389,0.831,1.36671710526316,0.94219298245614,1.46289655172414,1.48765467625899,1.56816666666667,NA,1.64567307692308,NA
"12","CORUÑA (A)",1.708,NA,1.199,2.2,0.81416,1.38078966789668,0.993052631578947,1.45400442477876,1.5098962962963,1.594,NA,1.6408829787234,NA
"12","LUGO",NA,NA,NA,NA,0.8594,1.39052,1.00913333333333,1.47253488372093,1.5126218487395,1.56775,1.639,1.64968656716418,NA
"12","OURENSE",NA,NA,1.199,NA,0.8506,1.39365517241379,1.03951724137931,1.46897014925373,1.51252873563218,1.577,NA,1.64530555555556,NA
"12","PONTEVEDRA",NA,NA,NA,NA,0.864066666666667,1.38329381443299,0.97769696969697,1.46261290322581,1.50278645833333,1.56757142857143,NA,1.64162937062937,NA
"13","MADRID",NA,1.7015,1.49160869565217,1.89114285714286,0.852278846153846,1.39635378590078,1.01123255813953,1.4839801980198,1.52412368421053,1.61350666666667,NA,1.68241541755889,NA
"14","MURCIA",NA,NA,1.1572,1.3485,0.858911764705882,1.32961020881671,0.958728682170543,1.41402547770701,1.4647775,1.51510526315789,NA,1.60795634920635,NA
"15","NAVARRA",NA,NA,1.199,NA,0.8178,1.34671929824561,0.902807339449541,1.44244036697248,1.48407881773399,1.57066666666667,NA,1.6434,NA
"16","ARABA/ÁLAVA",NA,1.41766666666667,0.948,0.993,0.823428571428571,1.38887142857143,0.966166666666667,1.50169565217391,1.52060317460317,1.729,NA,1.67430952380952,NA
"16","BIZKAIA",NA,NA,1.71,2.2,0.881,1.39804918032787,0.986857142857143,1.49092783505155,1.52334166666667,1.59155555555556,NA,1.68875,NA
"16","GIPUZKOA",1.729,1.449,1.52333333333333,1.655,0.823,1.41345081967213,1.05544444444444,1.49347311827957,1.53873148148148,1.5965,NA,1.6847037037037,NA
"17","RIOJA (LA)",NA,NA,NA,NA,0.815666666666667,1.36661445783133,0.9075625,1.46162962962963,1.49562666666667,1.579,NA,1.64953846153846,NA
"18","CEUTA",NA,NA,NA,NA,NA,1.12311111111111,NA,1.16866666666667,1.22011111111111,1.264,NA,1.249,NA
"19","MELILLA",NA,NA,NA,NA,NA,1.01753846153846,NA,1.0626,1.14853846153846,NA,NA,NA,NA
